jp,en,tag,context,keywords,verified
申請書にご記入ください,Please fill in the application form,Admin,窓口で書類を記入してもらう際に。,"申請書, 申し込み, 記入, form, application, しんせいしょ, 手続き, 書類, register",FALSE
必要書類を提出してください,Please submit the required documents,Admin,申請受付時の一般的な案内に。,"必要書類, 提出, submission, documents, しょるい, 手続き, application, required",FALSE
身分証明書を提示してください,Please present your ID,Admin,本人確認の依頼に。運転免許証やパスポート等。,"身分証明書, ID, 本人確認, 免許証, パスポート, identification, みぶんしょうめい, identity, verification",FALSE
マイナンバーカードをご持参ください,Please bring your My Number (Individual Number),Admin,個人番号の提示を求める場合。,"マイナンバー, 個人番号, My Number, 通知カード, ICカード, まいなんばー, 行政手続き",FALSE
証明写真が必要です,A passport-style photo is required,Admin,パスポートや各種申請書に必要な場合。,"証明写真, 顔写真, photo, ID photo, passport photo, 4.5x3.5, しょうめいしゃしん, photography",FALSE
写真は縦4.5cm×横3.5cmで背景は無地（白）,"Photo size: 4.5cm x 3.5cm, plain white background",Admin,証明写真の規格を示す表記に。,"写真は縦4.5cm×横3.5cmで背景は無地（白）, Photo size: 4.5cm x 3.5cm, plain white background, photo, size:, 4.5cm, 3.5cm, plain, white, background, admin",FALSE
顔がはっきり写っている必要があります,The face must be clearly visible in the photo,Admin,証明写真の注意書きに。,"顔がはっきり写っている必要があります, The face must be clearly visible in the photo, the, face, must, clearly, visible, photo, admin",FALSE
住民票の写しを発行します,We will issue a copy of your certificate of residence,Admin,役所での住民票発行案内に。,"住民票の写しを発行します, We will issue a copy of your certificate of residence, will, issue, copy, your, certificate, residence, admin",FALSE
戸籍証明書を請求する,Request a family register full/partial copy,Admin,戸籍に関する手続きの案内に。,"戸籍謄本・抄本を請求する, Request a family register full/partial copy, request, family, register, full/partial, copy, admin",FALSE
印鑑登録証明書が必要です,Seal registration certificate is required,Admin,不動産や各種契約で必要な場合に。,"印鑑登録証明書が必要です, Seal registration certificate is required, seal, registration, certificate, required, admin",FALSE
